topGenre,isHighEnergy,isDanceable,isLoud,isLively,isHighValence,isAcoustic,isSpeechy,isPopular
adult standards,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
album rock,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
alternative hip hop,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
alternative metal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
classic rock,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
alternative pop rock,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
pop,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
modern rock,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
modern rock,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
detroit hip hop,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
alternative rock,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
dutch indie,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
garage rock,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
dutch cabaret,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
permanent wave,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
alternative rock,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
classic uk pop,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
dance pop,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
permanent wave,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
modern folk rock,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
dutch pop,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
modern rock,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
detroit hip hop,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
afropop,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
permanent wave,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
british soul,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
adult standards,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
british soul,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
classic uk pop,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
alternative rock,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
irish rock,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
alternative metal,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
disco,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
big room,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
alternative rock,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
modern rock,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
alternative metal,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
dance pop,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
irish rock,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
adult standards,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
danish pop rock,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
dutch pop,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
neo mellow,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
alternative metal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
britpop,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
boy band,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
album rock,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
carnaval limburg,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
arkansas country,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
dutch cabaret,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
latin alternative,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
alternative metal,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
british soul,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
dance pop,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
album rock,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
danish pop rock,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
british soul,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
alternative metal,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
british folk,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
celtic,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
pop,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
